y_mean,y_std,y_var,y_rms,y_max,y_min,y_peak_to_peak,y_skewness,y_kurtosis,y_crest_factor,y_shape_factor,y_impulse_factor,y_clearance_factor,y_fft_points,y_frequency_resolution,y_freq_min,y_freq_max,y_nyquist_frequency,y_dominant_frequency,y_dominant_amplitude,y_spectral_energy,y_spectral_centroid,y_bandwidth,y_peak1_freq,y_peak2_freq,y_peak3_freq,y_peak1_amp,y_peak2_amp,y_peak3_amp,window_id,start_sample,end_sample,start_time_s,end_time_s,center_time_s,window_duration_s,motor,speed,folder,source_file
1.2213554951694128e-06,0.1415201746222188,0.020027959825103303,0.1415201746274891,0.32341361055080436,-0.34489209400785475,0.6683057045586591,-0.03258591109217778,-0.7865807907450391,2.4370524903299717,1.1915383162055135,2.903841420832228,3.327323852499456,1000,0.1,0.0,50.0,50.0,43.800000000000004,76.33158886879403,10014.11565738574,31.9983209629311,11.59840229273072,43.800000000000004,21.400000000000002,43.7,76.33158886879403,29.53378144451172,20.573746236193987,11,1000,1999,10.0,19.99,14.995,10.0,1,,M1_1260,bloco_002.csv
9.72948558074697e-05,0.14041598261033728,0.019716648172426538,0.14041601631835132,0.3340716881609608,-0.35435323259925827,0.6884249207602191,-0.05236811914496981,-0.7449196526650406,2.5235955405248665,1.1923389127094288,3.0089811629077827,3.4417632971597785,1000,0.1,0.0,50.0,50.0,43.800000000000004,65.92464223447354,9858.346573894454,31.557662452223866,11.54234998748526,43.800000000000004,43.7,43.900000000000006,65.92464223447354,35.779992455042965,24.046865289055923,12,1500,2499,15.0,24.99,19.994999999999997,10.0,1,,M1_1260,bloco_002.csv
0.00010637710305852154,0.14120647832880856,0.01993926952202428,0.1412065183980978,0.3416903363357267,-0.35435323259925827,0.696043568934985,-0.012065862350530974,-0.7773696461283679,2.509467952465513,1.1854009960814487,2.9747258104870924,3.3817690303191137,1000,0.1,0.0,50.0,50.0,43.800000000000004,64.33259702804718,9969.68836293554,32.31338936554728,11.3979253110905,43.800000000000004,43.6,43.7,64.33259702804718,32.89055509489116,27.260503992209095,13,2000,2999,20.0,29.99,24.994999999999997,10.0,1,,M1_1260,bloco_002.csv
-0.00014877573190598452,0.1428262532939565,0.02039933862998942,0.1428263307804546,0.3416903363357267,-0.3537518566325327,0.6954421929682595,0.01581212716862289,-0.8458424391753745,2.4767972032853116,1.1772417399957076,2.9157890492121026,3.299450659802692,1000,0.1,0.0,50.0,50.0,43.7,69.68218022775197,10199.714698015086,32.09547787084229,11.318904066498028,43.7,21.400000000000002,43.800000000000004,69.68218022775197,32.23000917625361,27.09079650167,14,2500,3499,25.0,34.99,29.995,10.0,1,,M1_1260,bloco_002.csv
5.726696604092288e-05,0.14071364934891795,0.01980033111309024,0.14071366100203506,0.31997389495293793,-0.35521904737243154,0.6751929423253695,-0.0031891787019839224,-0.7819862195115732,2.524410528749545,1.1837835234261114,2.988355590297109,3.3882224914463457,1000,0.1,0.0,50.0,50.0,43.7,56.667008650586915,9900.355896910718,32.57068810170756,11.410875827467867,43.7,43.6,43.800000000000004,56.667008650586915,35.72846517903899,35.05249547104457,15,3000,3999,30.0,39.99,34.995000000000005,10.0,1,,M1_1260,bloco_002.csv
3.263041197062444e-06,0.1388102629784584,0.019268289108148772,0.13881026301681088,0.3212130935287134,-0.35521904737243154,0.6764321409011449,-0.001847543279403669,-0.7425433976593108,2.559025821667178,1.1907216795853934,3.047087524477934,3.4730156547738464,1000,0.1,0.0,50.0,50.0,43.7,76.75378450163065,9634.148552116829,30.64472180673646,11.141330358280557,43.7,42.800000000000004,21.5,76.75378450163065,20.804766073480817,19.98902088563589,16,3500,4499,35.0,44.99,39.995000000000005,10.0,1,,M1_1260,bloco_002.csv
0.0007082247228172815,0.13600083504171154,0.018496227132042832,0.1360026790703067,0.40064902522586066,-0.36031890421099194,0.7609679294368525,-0.0010323708280318047,-0.6589313928758549,2.9458906836588477,1.1965980036797654,3.5250469111249965,4.0312331328097795,1000,0.1,0.0,50.0,50.0,43.7,58.94130337976219,9248.870399752284,30.72492788716201,12.967924620174038,43.7,43.900000000000006,21.3,58.94130337976219,24.273004823159724,21.15234584700469,17,0,999,0.0,9.99,4.995,10.0,1,,M1_1260,bloco_003.csv
3.156442484926014e-05,0.13405885639656223,0.017971776978354094,0.13405886011251555,0.3395799713014014,-0.36031890421099194,0.6998988755123934,0.004140248150307777,-0.7867722436193048,2.687766432659329,1.1866949126539552,3.189558752038895,3.633085917808413,1000,0.1,0.0,50.0,50.0,43.7,54.31984527464371,8985.909610963194,32.147057700236,11.35517000766927,43.7,43.800000000000004,21.200000000000003,54.31984527464371,45.63730573347094,24.904735683670136,18,500,1499,5.0,14.99,9.995000000000001,10.0,1,,M1_1260,bloco_003.csv
-0.00023158046947784828,0.13452999373472538,0.01809831921426525,0.13453019305635108,0.2873155144377739,-0.3120024415846405,0.5993179560224144,-0.029438944710416904,-0.8346387075330908,2.3192001326717127,1.1871670633397706,2.753278010801083,3.1503906626437006,1000,0.1,0.0,50.0,50.0,43.800000000000004,54.47982437743273,9049.297740672302,32.50553191023689,11.740511439537883,43.800000000000004,43.7,43.6,54.47982437743273,29.85635699811945,29.358955791739106,19,1000,1999,10.0,19.99,14.995,10.0,1,,M1_1260,bloco_003.csv
0.00014022626269351852,0.13446911541045975,0.018081942999271544,0.1344691885253878,0.2830590021013241,-0.31898437400941654,0.6020433761107407,-0.026917383124064782,-0.8339484348628683,2.3721744550365322,1.1835636141308739,2.8076193713519744,3.1951313146670643,1000,0.1,0.0,50.0,50.0,43.6,47.84331768467057,9040.994772146905,32.44104444637451,11.369205348913056,43.6,43.7,21.200000000000003,47.84331768467057,47.25893752824407,25.582401425458446,20,1500,2499,15.0,24.99,19.994999999999997,10.0,1,,M1_1260,bloco_003.csv
